make;model;body;transmission;color;condition;odometer;price
13;41;8;1;2;4.2;16338;25500
11;51;11;1;3;4.3;11809;16100
13;41;8;1;1;4.2;15131;26000
13;42;9;1;3;4.5;28053;25000
13;42;9;1;8;4.1;19587;23500
13;42;9;1;2;4.6;20246;24750
13;42;9;1;13;4.1;19957;21750
13;42;9;1;1;3.7;17337;20250
11;47;2;1;1;1;48510;6500
13;42;9;1;8;3.6;23104;22750
13;42;9;1;1;4.6;5017;23500
13;42;9;1;2;2.2;24054;18750
11;47;2;1;5;3.7;36194;13200
13;42;9;1;1;2.6;14264;20750
11;48;2;1;5;4.7;8595;18500
11;49;6;1;3;4.6;9927;11300
11;30;2;1;7;3.5;37759;11800
13;42;9;1;1;4.3;17232;24500
13;43;1;1;2;4.1;40087;27250
11;30;2;1;2;1;25960;8800
13;42;9;1;1;3.5;25132;23500
13;42;9;1;2;4.3;14887;24500
11;49;2;1;2;3.6;41841;9400
11;52;2;1;5;4.5;34566;20300
11;44;1;1;3;5;10747;25800
11;30;2;1;2;1;42798;7600
11;48;2;1;1;4.4;16684;14800
13;42;9;1;2;1.9;18420;18250
11;30;2;1;2;2;35824;8700
13;41;8;1;3;4.1;17090;21500
13;41;8;1;3;2.6;12735;22500
13;42;9;1;8;4.3;24031;20500
13;42;9;1;2;3.7;29907;21000
11;53;1;1;4;4.2;19109;17500
13;42;9;1;2;4.3;26396;23750
13;42;9;1;2;2.1;23507;21000
11;47;2;1;1;3.8;34745;12700
11;30;2;1;3;4.8;10564;16500
11;52;2;1;3;4.7;16132;21400
13;42;9;1;2;4.7;16854;25750
13;42;9;1;1;4.4;19551;25000
13;42;9;1;6;4.4;14486;22000
11;48;2;1;1;4.2;17831;18200
13;42;9;1;2;2.7;26792;18000
11;52;2;1;5;4.3;19152;22200
13;41;8;1;1;4.4;19492;26250
11;47;2;1;8;3.4;50160;11900
13;42;9;1;1;4.5;19368;23000
11;45;2;1;1;3.9;12154;27500
11;46;2;1;1;4.3;11566;25000
13;42;9;1;1;4.7;25635;26500
11;47;2;1;8;3.7;39062;12200
11;30;2;1;2;2;29006;8700
11;30;2;1;4;4.8;8559;10800
13;42;9;1;2;3.9;26907;21750
13;42;9;1;2;3.4;14765;23500
13;42;9;1;2;4.3;18673;22000
13;42;9;1;1;3.7;20707;23500
11;50;6;1;3;4.2;8467;16300
13;42;9;1;2;4.4;16009;22750
13;42;9;1;5;4;15260;24500
11;48;2;1;5;4.4;9539;14900
13;42;9;1;3;3.6;20976;21000
13;42;9;1;3;4.6;22294;24750
11;47;2;1;2;2;44135;8400
13;41;8;1;2;4;30556;23500
13;42;9;1;1;4.1;29731;21000
11;30;2;1;4;1;36957;9400
13;41;8;1;1;4.4;13321;26000
11;52;2;1;3;3.6;6552;21400
11;48;2;1;4;4.3;22143;17100
13;42;9;1;2;4.5;23420;22250
11;49;2;1;1;2;33078;7800
13;42;9;1;2;3.2;28875;21000
11;49;6;1;2;4.9;6747;11900
11;30;2;1;2;4.4;38170;11600
13;42;9;1;1;4.4;23156;23000
11;47;2;1;5;2.8;32387;9750
11;47;2;1;1;4.2;40593;12000
13;41;8;1;2;4.8;13661;26500
13;42;9;1;1;4.5;21557;25250
13;42;9;1;2;3.8;20067;24000
11;47;2;1;2;3.9;45991;17200
13;41;8;1;2;4.2;22354;25000
11;45;2;1;5;4.6;20952;22200
11;44;1;1;2;4.6;15758;21400
11;47;2;1;3;3.7;37154;12100
11;30;2;1;3;2.4;35963;11500
13;42;9;1;8;4.4;28920;23250
11;45;2;1;1;3;19893;22500
11;30;2;1;2;3.8;38594;11800
11;30;2;1;2;4.4;19035;12600
13;41;8;1;3;4.4;16605;25500
13;42;9;1;5;3.8;28127;21500
11;44;1;1;2;4.5;14076;25500
11;51;11;1;8;1;999999;2500
13;42;9;1;8;4.4;17916;24750
